"","Source","Title","Narrative","Date"
"2685","ABC Online","Hurricane Maria: Donald Trump's visit adds to Puerto Rico's identity ...","US President Donald Trump's whirlwind visit to Puerto Rico was supposed to dispel the notion some hurricane victims are more equal than others, but for many˜...",2017-10-04
"2686","ABC Online","Hurricane Maria: Residents of devastated Puerto Rican island ...","It's only 11 kilometres from Puerto Rico's main island, but Vieques might as well be a world away. The island was devastated by Hurricane Maria on September˜...",2017-10-04
"2687","ABC10","Trump tosses paper towels to crowd in Puerto Rico visit","With a soft flick of the wrist, President Trump cast rolls of paper towels into the eager arms of delighted Puerto Ricans on Tuesday. At the island's Calvary Chapel,˜...",2017-10-04
"2688","Aberdeen Evening Express","Trump compares Puerto Rico death toll to 'real catastrophe like ...","US President Donald Trump highlighted Puerto Rico's relatively low death toll compared with ?a real catastrophe like Katrina? as he saw for himself the˜...",2017-10-04
"2689","Aberdeen Evening Express","These satellite pictures show how Hurricane Maria decimated power ...","Shocking images of Puerto Rico taken by satellite show how Hurricane Maria wiped out power on the island. The after images are significantly dimmer and show˜...",2017-10-04
"2690","AL DIA News","Donald Trump's rudeness in Puerto Rico","In an attitude that touches the grotesque, President Donald Trump spent a few minutes of his delayed visit to Puerto Rico to throw rolls of paper to the neighbors˜...",2017-10-04
"2691","AL DIA News","Death toll from Hurricane Maria in Puerto Rico raised to 34","In his first visit to the island since hurricane Maria struck on Sept 20, President Trump said officials should be proud that relatively few people died in the storm.",2017-10-04
"2692","AL.com","Puerto Rican connection inspires Mobile relief drive","Jonathan Aponte walks with a gas can up the road to his home in the aftermath of Hurricane Maria, in Yabucoa, Puerto Rico, Tuesday, Sept. 26, 2017.",2017-10-04
"2693","Albany Times Union (blog)","PEF nurses volunteering with health care needs in Puerto Rico","Six registered nurses who are represented by the New York State Public Employees Federation (PEF) are on their way to San Juan, Puerto Rico to offer their˜...",2017-10-04
"2694","Alive For Football","Maryland governor directs national guard to help Puerto Rico","Gov. Larry Hogan is sending a 26-member unit of the Maryland National Guard to Puerto Rico to aid in the recovery from Hurricane Maria. ""I thank the˜...",2017-10-04
"2695","Aljazeera.com","Trump praises himself in first visit to storm-torn Puerto Rico","The number of people confirmed dead in the US territory of Puerto Rico after Hurricane Maria has risen to at least 34 people. US President Donald Trump visited˜...",2017-10-04
"2696","American Enterprise Institute","Puerto Rico needs a Marshall Plan","The Trump administration can choose to mount a Marshall Plan-style economic rehabilitation program for Puerto Rico on the lines of what the U.S. successfully˜...",2017-10-04
"2697","American Thinker (blog)","Trump: Puerto Rican debt will be 'wiped out'","Donald Trump said that because of hurricane Maria, Puerto Rico's $70 billion debt will have to be ""wiped out."" In an interview with Fox News, Trump said that˜...",2017-10-04
"2698","AOL","This Real Housewife of New York is chartering planes to help Puerto ...","Bethenny Frankel of Bravo's ?Real Housewives? franchise is on the ground in Puerto Rico, and has brought thousands of dollars in supplies and gift cards for the˜...",2017-10-04
"2699","AOPA Pilot","GA airfield plays crucial role in Puerto Rico","Carlos Reyes, the owner-operator of San Juan, Puerto Rico's Isla Grande Flying School at Fernando Luis Ribas Dominicci Airport, said the general aviation˜...",2017-10-04
"2700","AppsforPCdaily","DeLauro on aid to Puerto Rico: Slow and inadequate","The station - known by its call sign, K2GSG - is taking messages known as ""radiograms"" to send down to hurricane-ravaged Puerto Rico, which has been mostly˜...",2017-10-04
"2701","Arkansas Online","Puerto Rico raises hurricane's official death count to 34","SAN JUAN, Puerto Rico ? The official death toll from Hurricane Maria in Puerto Rico has increased to 34 from 16, the U.S. territory's governor said Tuesday.",2017-10-04
"2702","Arkansas Online","Trump tours Puerto Rico, touts aid flow; he contrasts death count ...","President Donald Trump hands out flashlights and other supplies Tuesday at a church in Guaynabo, a town just south of Puerto Rico's capital, San Juan.",2017-10-04
"2703","Armenpress.am","US President Trump tosses paper towels into Puerto Rico crowd","YEREVAN, OCTOBER 4, ARMENPRESS. While surveying the damage in Puerto Rico after Hurricane Maria, US President Donald Trump visited with survivors˜.",2017-10-04
"2704","Asbury Park Press","Hurricane Maria: Volunteer nurses fly through NJ to get to Puerto Rico","MORE: Here's how NJ can help Maria victims in Puerto Rico ... like this on American soil in decades, and the people of Puerto Rico still need help,? said Capt.",2017-10-04
"2705","AV Club","Stephen Colbert calls Trump the second disaster to hit Puerto Rico","In times of tragedy, we're told to look for the helpers in order to feel more hopeful or less alone. Puerto Rico is on the verge of a humanitarian crisis after being˜...",2017-10-04
"2706","Aviation Today","BizAv Supports Hurricane Relief Efforts in Florida, Puerto Rico","Hundreds of business aircraft are assisting in the ongoing hurricane relief efforts in the Florida Keys and Puerto Rico, according to the National Business˜...",2017-10-04
"2707","Axios","Axios AM","""Trump suggested that the government debt accumulated by bankrupt Puerto Rico would need to be wiped clean to help the island recover from the devastation˜...",2017-10-04
"2708","Barron's","Puerto Rico Bonds Tank as Trump Says Debt to be Wiped Out","Puerto Rico's bonds have been falling fast ever since the scope of damage to the island following Hurricane Maria became clear. But President Trump's˜...",2017-10-04
"2709","Bartlesville Radio","Bartlesville Radio: The area's best source for news, weather and ...","President Trump calls the recovery on Puerto Rico ""really nothing short of a miracle,"" an assessment at odds with the despair of many still struggling to find water˜...",2017-10-04
"2710","Bay News 9","MARIA: Puerto Rico death toll at 34","Trump traveled to Puerto Rico Tuesday for the first time since Hurricane Maria slammed into the island more than two weeks ago. He is the first sitting president˜...",2017-10-04
"2711","BayStateBanner","Puerto Ricans struggle with aftermath, lack of aid","As expected, Puerto Rico's recovery from Hurricane Maria's destruction has been slow and painful. The natural disaster destroyed homes, cut off most of the˜...",2017-10-04
"2712","BBC News","Puerto Rico: Trump paper towel-throwing 'abominable'","The mayor of Puerto Rico's capital, San Juan, has described Donald Trump's visit to the hurricane-hit island as ""insulting"" and called him a˜...",2017-10-04
"2713","Belfast Telegraph","Donald Trump threw paper towels like a basketball to Puerto Ricans","Donald Trump got stuck into handing out aid in storm-battered Puerto Rico on ... realDonaldTrump threw paper towels to exhausted Puerto Ricans like he was˜...",2017-10-04
"2714","Bend Bulletin","Trump lobs paper towels, praise to storm victims","President Donald Trump tosses paper towels into a crowd as he hands out supplies on Tuesday at Calvary Chapel in Guaynabo, Puerto Rico. Trump was in˜...",2017-10-04
"2715","bestofneworleans.com","Caf? Sbisa to donate October proceeds to Hurricane relief in Puerto ...","Caf? Sbisa to donate October proceeds to Hurricane relief in Puerto Rico ... are transporting and delivering supplies to victims of Hurricane Maria in Puerto Rico.",2017-10-04
"2716","Billboard","Fat Joe Pleads for Help Regarding Hurricane Crisis in Puerto Rico ...","As Puerto Rico continues to claw its way back into normalcy after facing a brutal category five storm last month, Fat Joe sat down with CNN on Wednesday˜...",2017-10-04
"2717","Bloomberg","A Trump Statue Could Be Coming to Puerto Rico","It's too soon to say what part of President Donald Trump's Puerto Rico visit will be most remembered. The paper-towel toss? His handshake with the San Juan˜...",2017-10-04
"2718","Bloomberg","Trump's Puerto Rico Comments Rocked These Markets","Shares of bond insurers tumbled and the price of a tranche of the island's bonds sank to levels equal to those in Venezuela after U.S. President Donald Trump˜...",2017-10-04
"2719","Bloomberg","Trump Keeps Getting Rolled by His Own Cabinet","For example, when Trump apparently referenced a fictional story about a Puerto Rico truck driver strike (there is no strike, but Trump nevertheless said ""We need˜...",2017-10-04
"2720","Bloomberg","MatlinPatterson to Unwind Puerto Rico, Distressed Wagers","MatlinPatterson, the firm that wagered big on Puerto Rico's debt, is unwinding its distressed-credit investments after its largest investor decided to yank cash.",2017-10-04
"2721","Bloomberg","Puerto Rico Needs Treasury Loan to Pay Its Debts, Pelosi Says","Democrats are seeking a loan from the Treasury Department to help Puerto Rico pay its debts in the short term, House Minority Leader Nancy Pelosi said.",2017-10-04
"2722","Bloomberg","Puerto Rico Governor Says Not Focused on Debt Right Now","Puerto Rico Governor Ricardo Rossello discusses an increase in the death toll from Hurricane Maria, President Donald Trump's visit to see the destruction left by˜...",2017-10-04
"2723","Bloomberg","Trump Just Adds to Mess in Puerto Rico","The latest bombshell is Puerto Rico, or more specifically, its debt. While visiting the island on Tuesday to inspect relief efforts after the devastation of Hurricane˜...",2017-10-04
"2724","Bloomberg","El-Erian Sees Debt Reduction in Puerto Rico's Future","Mohamed El-Erian, chief economic advisor at Allianz SE and a Bloomberg View columnist, discusses the need for debt reduction in Puerto Rico as the territory˜...",2017-10-04
"2725","Bloomberg","Mulvaney Says No Bailout for Puerto Rico Bondholders","?I think what you heard the president say is that Puerto Rico is going to have to figure out a way to solve its debt problem,? Mick Mulvaney, President Donald˜...",2017-10-04
"2726","Bloomberg","US Stocks, Dollar Churn Near Highs Amid Fed Bets: Markets Wrap","U.S. stocks, bonds and the dollar fluctuated as developments from Catalonia to Puerto Rico and the Federal Reserve reverberated through financial markets˜...",2017-10-04
"2727","BloombergQuint","Trump Budget Head Says No US Bailout for Puerto Rican Debt","(Bloomberg) -- President Donald Trump's budget chief said not to take literally the president's suggestion that Puerto Rico's debt would be ?wiped out,? even as˜...",2017-10-04
"2728","BloombergQuint","Puerto Rico Control Board Backs Governor's Call for Assistance","(Bloomberg) -- Puerto Rico's federally appointed oversight board asked congressional leaders for maximum assistance to ?avert a tragedy of historic˜...",2017-10-04
"2729","BloombergQuint","Puerto Rico's Benchmark Bond Falls to a Record Low: Chart","(Bloomberg) -- Puerto Rico's general-obligation bonds due in 2035 found a new low on Wednesday, falling to 32 cents on the dollar. The benchmark bond, one˜...",2017-10-04
"2730","BloombergQuint","Trump's Gambit on Puerto Rico Debt Is Classic Emerging Markets","(Bloomberg) -- President Donald Trump's starting point for repaying Puerto Rico's $74 billion in debt -- zero -- isn't just hallmark behavior from the man who˜...",2017-10-04
"2731","Bon Appetit","What Will Puerto Rican Food Look Like After Hurricane Maria?","Before Hurricane Maria hit Puerto Rico in September, San Juan restaurant El Departamento de la Comida was known for its sense of community. Chef and˜...",2017-10-04
"2732","Bond Buyer","Puerto Rico muni bonds tumble after Trump remarks on debt ...","Puerto Rico bonds took a hit on Wednesday after President Donald Trump suggested that the commonwealth's debt would need to be wiped clean to help the˜...",2017-10-04
"2733","Boston Herald","Donald Trump talks up 'miracle' recovery effort in Puerto Rico","President Trump tossed rolls of paper towels like jump shots to a supportive crowd in storm-ravaged Puerto Rico, praised the response efforts in the aftermath of˜...",2017-10-04
"2734","Boston Herald","Chang: BPS ready to welcome displaced students","Children fleeing hurricane-ravaged Puerto Rico could begin arriving in Boston this week, according to Superintendent of Schools Tommy Chang, who promised˜...",2017-10-04
"2735","BOSTON, MA ","NECN-6 hours ago","Story image for puerto rico from KDLT News",2017-10-04
"2736","Bradenton Herald","AP-NORC Poll: Few approve of Trump's Puerto Rico response","Americans are more likely to approve than disapprove of how President Donald Trump is handling hurricane relief in Florida and Texas, but it's a different story˜...",2017-10-04
"2737","Broadway World","South Bend Civic Theatre Raises Over $6000 for Puerto Rico","South Bend Civic Theatre Raises Over $6,000 for Puerto Rico The September 15-30, 2017 run of ""Sister Act"" at South Bend Civic Theatre has raised a total of˜...",2017-10-04
"2738","Brooklyn Vegan (blog)","Princess Nokia raising money for hurricane relief, played Villain (pics)","The president of the United States, has done a terribly job providing coverage, sympathy, and relief aid to Puerto Rico in its Time of crisis, and the federal˜...",2017-10-04
"2739","Burlington County Times","Trump says US must 'wipe out' Puerto Rico debt","President Donald Trump and first lady Melania Trump tour a neighborhood impacted by Hurricane Maria, Tuesday, Oct. 3, 2017, in Guaynabo, Puerto Rico.",2017-10-04
"2740","Burlington County Times","MULLANE: Puerto Rico will survive Hurricane Maria","Once the transportation issue is resolved, Puerto Rico's comeback will commence, as long as government does not get in the way. Puerto Ricans, like other˜...",2017-10-04
"2741","Burlington Times News","Editorial: Puerto Rico needs to rebuild power grid","With Puerto Rico sweltering in the dark, restoring electricity as soon as possible is vital to averting a humanitarian disaster. The island's long-term recovery,˜...",2017-10-04
"2742","Business Insider","People are furious about Melania Trump's outfit for her Puerto Rico ...","Melania Trump has a hurricane style routine ? and it's a deft political play from the first lady. On Tuesday, she was once again spotted in stiletto heels as she˜...",2017-10-04
"2743","Business Insider","Stephen Colbert rips Trump's visit to Puerto Rico: 'You're not working ...","Stephen Colbert didn't hold back when talking about Trump's visit to Puerto Rico on Tuesday. CBS/YouTube. President Trump visited Puerto Rico on Tuesday,˜...",2017-10-04
"2744","Business Insider","Puerto Rico needs federal relief and financial support, not lectures ...","Hurricane Maria A man looks for valuables in the damaged house of a relative after the area was hit by Hurricane Maria in Guayama, Puerto Rico September 20,˜...",2017-10-04
"2745","Business Insider UK","Puerto Rico bonds collapse after Trump says its debt needs to be ...","trump melania puerto rico U.S. President Donald Trump, sitting between Puerto Rico Governor Ricardo Rossello and first lady Melania Trump, sits down to a˜...",2017-10-04
"2746","Business Wire (press release)","Embrace Home Loans Provides Relief Assistance to Victims in ...","Embrace Home Loans Provides Relief Assistance to Victims in Puerto Rico ... to provide relief assistance to residents in Puerto Rico in direct response to the˜...",2017-10-04
"2747","Business Wire (press release)","SKECHERS Supports Hurricane Victims","?Skechers operates retail stores in Texas, Florida and Puerto Rico, we're sponsors of the Houston Marathon, and we have several key accounts in each of the˜...",2017-10-04
"2748","Bustle","Why Is Puerto Rico In So Much Debt? Trump Keeps Talking About ...","Since hurricanes battered down on Puerto Rico these past few months, you heard not just about the humanitarian suffering on the island, but also its public debt.",2017-10-04
"2749","Cape May County Herald","Where's Puerto Rico's Aid?","I'm disappointed in the state of hearing only words of aid for our citizens in Puerto Rico. I see very little being effectively done to help them. Here are some˜...",2017-10-04
"2750","CapeCod.com News","Eversource Contributes to Puerto Rico Relief Effort","BOSTON ? Eversource says they are ready, willing, and able to help with power restoration efforts on Puerto Rico, if they are called upon. In a statement, the˜...",2017-10-04
"2751","Carbonated.tv (blog)","Trump's Visit To Puerto Rico Was A Disaster Of Epic Proportions","In just a 4-hour visit, Trump managed to demean the sufferings of the Puerto Ricans, repeatedly insulted them and blamed them for ruining the U.S. budget.",2017-10-04
"2752","Castanet.net","Puerto Rico raises death toll","The official death toll from Hurricane Maria in Puerto Rico has increased to 34 from 16, the U.S. territory's governor said Tuesday. Gov. Ricardo Rossello also˜...",2017-10-04
"2753","CBC.ca","As Trump tours damage, some Puerto Ricans respond with 'an eye roll'","Yadira Sortre and William Fontan Quintero pose to what is left of their belongings, destroyed by Hurricane Maria. ""We lost everything,"" Fontan said. (Ramon˜...",2017-10-04
"2754","CBC.ca","Puerto Rico benchmark bond drops to record low after Trump remark","The price of Puerto Rico's benchmark general obligation bonds tumbled to a record low on Wednesday after U.S. President Donald Trump suggested late on˜...",2017-10-04
"2755","CBS Chicago","22 Chicago Firefighters Traveling To Puerto Rico For Hurricane ...","CHICAGO (CBS) ? Nearly two dozen members of the Chicago Fire Department were heading to Puerto Rico on Wednesday to help with relief efforts after˜...",2017-10-04
"2756","CBS Minnesota / WCCO","Mid-Morning Headlines From October 4, 2017","President Trump is calling recovery efforts in Puerto Rico ""really nothing short of a miracle,"" and House Democrats plan to push legislation to strengthen˜...",2017-10-04
"2757","CBS Minnesota / WCCO","Esme Murphy Dissects Trump's Puerto Rico Tweets","The president's comments while he was in Puerto Rico are raising eyebrows. He's tweeting this morning: ""A great day in Puerto Rico yesterday. While some of˜...",2017-10-04
"2758","CBS Minnesota / WCCO","'Sad Day' As President Trump Heads To Las Vegas","Trump's trip to Las Vegas follows his Tuesday travel to hurricane-ravaged Puerto Rico. During that trip, he highlighted Puerto Rico's relatively low death toll˜...",2017-10-04
"2759","CBS Minnesota / WCCO","Morning Headlines From Oct. 4, 2017","They include: Las Vegas shooting latest, POTUS visits Puerto Rico, Twins end season and the Lynx fight for WNBA championship. (7:21) WCCO This Morning˜...",2017-10-04
"2760","CBS News","Puerto Rico Gov. Rossell› to CBS News, ""we need to attend to a ...","During the president's trip to Puerto Rico Tuesday, President Trump showered compliments to the officials who he thought were handling the crisis well.",2017-10-04
"2761","CBS Pittsburgh / KDKA","Pirates To Deliver 450000 Pounds Of Supplies To Puerto Rico","PITTSBURGH (NewsRadio 1020 KDKA) ? Over the course of two days, the Pirates collected 450,000 pounds of supplies to assist the people of Puerto Rico˜...",2017-10-04
"2762","CHICAGO ","WGN-TV-8 hours ago","Story image for puerto rico from Energy Collective",2017-10-04
"2763","Chicago Daily Herald","Dawn Patrol: Aurora Christian student killed on Kane County road","Jessie Bonilla knows she made a sensible decision staying in Elgin instead of going back to Puerto Rico after the devastation of Hurricane Maria. But that makes˜...",2017-10-04
"2764","ChristianToday","Puerto Rico religious leaders beg Trump for debt relief","Puerto Rico and US Virgin Islands' religious leaders are begging for aid and a pause to debt repayments to help with the 'serious humanitarian crisis' following˜...",2017-10-04
"2765","Circleville Herald","Ohio National Guard sends team to Puerto Rico","COLUMBUS ? The Ohio National Guard has sent about 30 Soldiers to Puerto Rico from Rickenbacker Air National Guard Base in Columbus to prepare for the˜...",2017-10-04
"2766","CityLab","Another Desperate Need for Puerto Rico: Lawyers","Right now, the millions of victims of Hurricane Maria in Puerto Rico and U.S. Virgin Islands are focused on finding water, food, electricity, and working cellular˜...",2017-10-04
"2767","cleveland.com","Trump insults Puerto Rico: Darcy cartoon","In a visit to Puerto Rico to see hurricane damage, President Trump called Katrina a REAL catastrophe and half-joked that Puerto Rico hurricane aid was a strain˜...",2017-10-04
"2768","ClickLancashire","Pennsylvania National Guard Joins Puerto Rico Hurricane Relief ...","Gov. Larry Hogan is sending a 26-member unit of the Maryland National Guard to Puerto Rico to aid in the recovery from Hurricane Maria. The South Carolina˜...",2017-10-04
"2769","CNBC","For many Puerto Rico residents, it's time to leave the island","San Juan's airport is packed with people with one-way tickets after Hurricane Maria devastated the island. Many people outside the security checkpoint at the˜...",2017-10-04
"2770","CNBC","Puerto Rico bondholders on Wall Street are 'suicidal,' fear ...","Bondholders are ""suicidal"" with worry that President Donald Trump really will wipe them out, even if he can't actually reduce Puerto Rico's debt, according to one˜...",2017-10-04
"2771","CNBC","Hedge fund manager some call the next Warren Buffett owns nearly ...","""The Baupost Group is a holder of COFINA [Puerto Rico Sales Tax Financing Corp.] bonds through the Decagon entities. Baupost regularly makes investments˜...",2017-10-04
"2772","CNBC","Trump can't magically wipe away Puerto Rico's debt, but his words ...","President Donald Trump, who has called himself the ""King of Debt,"" says Puerto Rico's debt should be wiped out, but that's unlikely to happen. Bond strategists˜...",2017-10-04
"2773","CNBC","If you don't think you own Puerto Rico debt, you're most likely wrong","Individual investors own the bulk of Puerto Rico bonds, according to Cate Long, founder of Puerto Rico Clearinghouse. To see how much exposure you might˜...",2017-10-04
"2774","CNBC","Puerto Rico resembles 'a war zone.' This is what Trump must do to ...","Puerto Rico's residents and businesses are coming together to rebuild with incredible commitment and resilience. Many people on the island still have no˜...",2017-10-04
"2775","CNBC","Wall Street record streak could pause ahead of key economic data","President Trump, while on a trip to Puerto Rico to observe hurricane recovery efforts, said that the island's massive debt will have to be wiped out. ""They owe a˜...",2017-10-04
"2776","CNBC","Futures point to a weak open on Wall Street, as data, Yellen remarks ...","The U.S. incumbent has recently been in Puerto Rico, to survey the impact of what Hurricane Maria had on the Caribbean Island. On Tuesday, Trump said in an˜...",2017-10-04
"2777","CNNMoney","Puerto Ricans to Trump: Don't focus on debt, we need water","""Texas and Florida are doing great but Puerto Rico, which was already suffering from broken infrastructure & massive debt, is in deep trouble,"" Trump tweeted on˜...",2017-10-04
"2778","Common Dreams","Trump Calls for Puerto Rico's Debt to be ""Wiped Out""","WASHINGTON - In an interview with Fox News on Tuesday, President Trump called for Puerto Rico's debt to be wiped out. ""They owe a lot of money to your˜...",2017-10-04
"2779","Common Dreams","RN Relief Program Deploying Big Team to Puerto Rico 50 RNRN ...","WASHINGTON - A large delegation of 50 volunteer registered nurses from across the U.S. will join a unique, multi-union two-week disaster relief effort heading˜...",2017-10-04
"2780","Common Dreams","Watch Puerto Rican Lawmaker Slam Trump's on Island as 'Sad' and ...","Gutierrez when asked to respdond to President Donald Trump's behavior and comment during his Tuesday visit to Puerto Rico. (Image: Screenshot/MSNBC).",2017-10-04
"2781","Crain's Cleveland Business","DDR continues Puerto Rico rebuilding","The dozen shopping centers that DDR Corp. (NYSE: DDR) owns in Puerto Rico are undergoing quick repairs but are in a ""clean and safe condition,"" according˜...",2017-10-04
"2782","Crestview News Bulletin","Crestview man: Hurricane Maria claimed this Puerto Rican family's ...","CRESTVIEW ? A number of North Okaloosa County residents have rallied to help one of their own following Hurricane Maria. The Category 5 storm ? which hit˜...",2017-10-04
"2783","Cruise Industry News","Adventure to Homeport in San Juan Starting October 7","The Puerto Rico Tourism Company announced that the Adventure of the Seas will re-start its homeporting operators in Puerto Rico's San Juan starting on˜...",2017-10-04
"2784","Daily Business Review","FSU Among Law Schools to Welcome Displaced Puerto Rican ...","Florida State University College of Law is preparing to take about 10 law students from the University of Puerto Rico, which is closed for the foreseeable future˜...",2017-10-04
"2785","Daily Kos","Trump very happy after 'fantastic visit' to Puerto Rico, now Las ...","On Tuesday, Donald Trump dropped in on San Juan, Puerto Rico, where his primary activity was gathering a crowd of people, and making them say good things˜...",2017-10-04
"2786","Daily Mail","Trump hits back at 'nasty' Puerto Rico mayor who criticized his ...","Cruz went on CNN and said the White House staffers accompanying Trump to Puerto Rico understood the situation on the ground better than he does. 'I would˜...",2017-10-04
"2787","Daily Mail","Australian tennis star Nick Kyrgios pledges to donate $50 per ace for ...","... Mischa Zverev at the China Open on Wednesday, the Australian world No 19 pledged $50 for every one of them to help victims of hurricane-hit Puerto Rico.",2017-10-04
"2788","Daily Mississippian","Opinion: How San Juan's mayor failed her own citizens","There have been a lot of comments lately that paint Puerto Rico's post-hurricane devastation and President Donald Trump's response as ?his Katrina.? In case˜...",2017-10-04
"2789","Daily Star","Donald Trump throws toilet roll at Hurricane Maria survivors on ...","PRESIDENT Donald Trump made his first visit to the ravaged US territory of Puerto Rico since Hurricane Maria levelled the island almost two weeks ago.",2017-10-04
"2790","Daniel Island News","Hurricane Maria devastates, impacting DI residents with families in ...","Citizens of Puerto Rico are still being forced to live without electricity, limited water and supplies with little, if any, means of communication for help because of˜...",2017-10-04
"2791","Deadline","FCC Commits Up To $76.9 Million For Restoring Communication ...","Just as the overall recovery effort has been bogged down by logistics, as of yesterday about 88% of cell sites remained out of service in Puerto Rico and 67% in˜...",2017-10-04
"2792","Deadline","Donald Trump Tweets ?Fake News Media Out Of Control? Over ...","News outlets that noted Trump told Puerto Ricans they'd knocked his budget out of whack, boasted about the death count being far lower than Katrina, and˜...",2017-10-04
"2793","Death and Taxes","White House backtracks on Trump's remarks to 'wipe out' Puerto ...","Trump said Puerto Rico's debt will have to be wiped out. ?We're going to have to wipe that out. You're going to say goodbye to that? pic.twitter.com/vn4V8gVaDQ.",2017-10-04
"2794","DeathRattleSports.com","Bill Maher, Colin Jost, Michael Che, Jimmy Fallon, Samantha Bee ...","What will it take to get President Trump to care more about post-hurricane struggles in Puerto Rico? Bill Maher has an answer that could tie the island to one of˜...",2017-10-04
"2795","DeathRattleSports.com","'SNL' Mocks President Trump's Puerto Rico Comments With Two ...","Both Baldwin and the ?Weekend Update? team mocked Trump's recent Puerto Rico comments in SNL's premiere, showing what little has changed over the˜...",2017-10-04
"2796","DeathRattleSports.com","Trump Blasts San Juan Mayor Carmen Yulin Cruz's ?Poor ...","President Donald Trump has managed to find a personal feud in Puerto Rico's hurricane relief efforts. On Saturday morning, Trump criticized San Juan Mayor˜...",2017-10-04
"2797","Decider","Stephen Colbert Roasts Trump Over His ?Disaster? Of A Visit To ...","According to Stephen Colbert, Puerto Rico hasn't had to suffer through one disaster but two. Last night, the late night host tore into President Trump's visit to the˜...",2017-10-04
"2798","Decoded Science","North Atlantic, South Atlantic and Puerto Rico: Earthquakes 28 ...","After a hectic ? indeed, traumatic ? few weeks of major earthquakes, the week of 28 September-4 October, 2017 was mercifully quiet. The United States˜...",2017-10-04
"2799","Democracy Now!","Could Trump Actually Cancel Puerto Rico's Wall Street Debt After ...","Puerto Rico officials say the death toll from Hurricane Maria in Puerto Rico has increased from 16 to 34, though the Center for Investigative Journalism reports˜...",2017-10-04
"2800","Digital Trends","Puerto Rico website is keeping track of the island's re-emerging ...","Puerto Rico's road to recovery will be going on long after it's out of the headlines, and this website can help people keep track of the status of its infrastructure.",2017-10-04
"2801","DVIDS (press release)","Coast Guard crews escort, provide security for USNS Comfort in San ...","... Joesph Tazanos, a fast response cutter, escorts the Military Sealift Command hospital ship USNS Comfort (T-AH 20) into San Juan, Puerto Rico, Oct. 3, 2017.",2017-10-04
"2802","E&E News","Trump hails recovery with 7% of island repowered","President Trump toured storm-ravaged Puerto Rico yesterday, praising recovery efforts and taking praise for his administration's disaster response.",2017-10-04
"2803","Eater","Culinary Schools Now Offer Food Photography Classes for Instagram","The Trump administration loosened rules on food stamps, allowing people living in Puerto Rico to use them for fast food. Scientists are studying New York City˜...",2017-10-04
"2804","EIN News (press release)","Puerto Rican Insurance Industry Market 2017- By Plan Future ...","'Governance, Risk and Compliance ? The Puerto Rican Insurance Industry' report is the result of extensive research into the insurance regulatory framework in˜...",2017-10-04
"2805","Electrek","EGEB: Record Solar bid ? 1.78?/kWh; IEA says solar domination ...","Puerto Rico to Get Power Relief From German Microgrid Supplier ? Sonnen GmbH, a German provider of energy-storage systems, is planning to install˜...",2017-10-04
"2806","Elon News Network","Glossing over Puerto Rico","Sofia Wensel, left, Kevin Vergne, center, and Ana Garcia, right, hold the Puerto Rican flag together to show support for their native country after Hurricane Maria.",2017-10-04
"2807","Energy Collective","Puerto Rico a Tragic Reminder of Why Climate Action Cannot Wait","By continuing to ignore the fundamental threat that global warming poses today, however, the Trump administration is setting up Puerto Rico and the rest of the˜...",2017-10-04
"2808","Engadget","FCC approves $77 million to fix communications in Puerto Rico and VI","Two weeks after Hurricane Maria devastated Puerto Rico, the FCC has approved a measure providing up to $77 million to restore networks there and in the US˜...",2017-10-04
"2809","ESPN","Maria Sharapova and Nick Kyrgios join Monica Puig's Puerto Rico ...","After the devastation in Puerto Rico caused by Hurricane Maria nearly two weeks ago, the island has continued to suffer as many residents still lack access to˜...",2017-10-04
"2810","Express.co.uk","WATCH: Donald Trump tosses paper towels into crowd of Puerto ...","Donald Trump downplayed the severity of the hurricane during his visit as he claimed Puerto Rico should be proud only 16 people died. The President was also˜...",2017-10-04
"2811","FanFest News (press release)","Lin-Manuel Miranda's Mission to Help Raise Money for Puerto Rico","Things have been tough for Puerto Rico since Hurricane Maria hit and many have responded to the call for help, especially Lin-Manuel Miranda. If you follow the˜...",2017-10-04
"2812","Financial Times","Trump sends Puerto Rican bonds into tailspin","President Donald Trump sent Puerto Rico's $74bn of outstanding bonds plunging on Wednesday after he said ?you can say goodbye? to the territory's debt in the˜...",2017-10-04
"2813","Financial Times","Puerto Rico debt tumbles after Trump remarks","President Donald Trump sent shockwaves through Puerto Rico's $74bn debt stock on Wednesday after he said ?you can say goodbye? to the bonds, sending˜...",2017-10-04
"2814","Firstpost","Donald Trump visits Puerto Rico, tells survivors of Hurricane Maria ...","Donald Trump met storm survivors in Puerto Rico and told them to be ""proud"" the island did not lose more lives to Hurricane Maria, on a trip designed to respond˜...",2017-10-04
"2815","Florida Politics (blog)","Darren Soto: Congress must quickly approve robust relief package ...","After touring Puerto Rico earlier this week, U.S. Rep. Darren Soto declared the island is in emergency need of robust emergency federal funding, not just to˜...",2017-10-04
"2816","Florida Today","Torres: Returning to my ancestral home on aid mission","PUNTA CANA, Dominican Republic ? I tried not to notice Maria and the way she manhandled Puerto Rico, the island of my ancestors, that many extended family˜...",2017-10-04
"2817","ForexLive","Trump didn't mean that thing he said about wiping out Puerto Rico's ...","""We have to look at their whole debt structure,"" Trump said. ""They owe a lot of money to your friends on Wall Street. We will have to wipe that out. You can say˜...",2017-10-04
